Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2000-01-03,MOH.F,66.00789642333984,88.80000305175781,92.5999984741211,88.80000305175781,91.4000015258789,3000.0
2000-01-04,MOH.F,60.209903717041016,81.0,88.4000015258789,81.0,88.4000015258789,10500.0
2000-01-05,MOH.F,57.38521957397461,77.19999694824219,78.5999984741211,76.0,77.0,12000.0
2000-01-06,MOH.F,56.195899963378906,75.5999984741211,77.0,75.5999984741211,76.0,2500.0
2000-01-07,MOH.F,57.68256759643555,77.5999984741211,77.5999984741211,74.80000305175781,77.0,7000.0
2000-01-10,MOH.F,60.209903717041016,81.0,83.0,77.0,77.0,9500.0
2000-01-11,MOH.F,60.209903717041016,81.0,81.0,81.0,81.0,0.0
2000-01-12,MOH.F,63.331878662109375,85.19999694824219,86.0,81.19999694824219,81.80000305175781,6000.0
2000-01-13,MOH.F,66.15655517578125,89.0,89.0,85.4000015258789,85.4000015258789,8000.0
2000-01-14,MOH.F,68.83253479003906,92.5999984741211,93.5999984741211,88.0,88.5999984741211,9500.0
2000-01-17,MOH.F,68.68389129638672,92.4000015258789,94.0,91.80000305175781,92.5999984741211,5500.0
2000-01-18,MOH.F,65.71055603027344,88.4000015258789,92.4000015258789,88.0,92.4000015258789,7500.0
2000-01-19,MOH.F,63.92654800415039,86.0,88.0,86.0,88.0,7500.0
2000-01-20,MOH.F,65.41321563720703,88.0,88.0,87.0,88.0,4500.0
2000-01-21,MOH.F,63.62923049926758,85.5999984741211,88.0,84.5999984741211,88.0,2500.0
2000-01-24,MOH.F,63.183223724365234,85.0,86.5999984741211,85.0,85.4000015258789,5500.0
2000-01-25,MOH.F,62.43988800048828,84.0,84.19999694824219,82.4000015258789,84.0,7500.0
2000-01-26,MOH.F,62.43988800048828,84.0,84.0,83.5999984741211,83.5999984741211,1500.0
2000-01-27,MOH.F,62.58855438232422,84.19999694824219,84.4000015258789,83.5999984741211,83.5999984741211,500.0
2000-01-28,MOH.F,61.99391174316406,83.4000015258789,84.5999984741211,83.4000015258789,84.0,3000.0
2000-01-31,MOH.F,60.65591049194336,81.5999984741211,83.4000015258789,80.0,83.4000015258789,3000.0
2000-02-01,MOH.F,59.466548919677734,80.0,81.5999984741211,80.0,81.5999984741211,4000.0
2000-02-02,MOH.F,62.43988800048828,84.0,84.0,81.80000305175781,83.0,2500.0
2000-02-03,MOH.F,64.96721649169922,87.4000015258789,88.4000015258789,85.0,85.0,1500.0
2000-02-04,MOH.F,64.66988372802734,87.0,88.19999694824219,87.0,87.19999694824219,5000.0
2000-02-07,MOH.F,63.92654800415039,86.0,87.5999984741211,86.0,87.0,4000.0
2000-02-08,MOH.F,66.60256958007812,89.5999984741211,90.0,86.0,86.0,10000.0
2000-02-09,MOH.F,62.73723220825195,84.4000015258789,86.5999984741211,84.4000015258789,86.0,5500.0
2000-02-10,MOH.F,58.72321701049805,79.0,85.0,79.0,85.0,7000.0
2000-02-11,MOH.F,59.317893981933594,79.80000305175781,80.0,79.0,79.19999694824219,5500.0
2000-02-14,MOH.F,60.581565856933594,81.5,81.5999984741211,80.19999694824219,80.19999694824219,3000.0
2000-02-15,MOH.F,59.169227600097656,79.5999984741211,81.4000015258789,79.5999984741211,81.19999694824219,1500.0
2000-02-16,MOH.F,59.91255569458008,80.5999984741211,80.5999984741211,78.4000015258789,79.5999984741211,7000.0
2000-02-17,MOH.F,59.02056884765625,79.4000015258789,80.19999694824219,78.5999984741211,80.19999694824219,2000.0
2000-02-18,MOH.F,55.74991226196289,75.0,79.0,74.5999984741211,79.0,4000.0
2000-02-21,MOH.F,52.776573181152344,71.0,73.0,71.0,72.5999984741211,8000.0
2000-02-22,MOH.F,53.668556213378906,72.19999694824219,74.4000015258789,72.0,72.0,10500.0
2000-02-23,MOH.F,54.33756637573242,73.0999984741211,73.19999694824219,72.4000015258789,72.4000015258789,7500.0
2000-02-24,MOH.F,56.939231872558594,76.5999984741211,77.5999984741211,73.5999984741211,73.5999984741211,2500.0
2000-02-25,MOH.F,58.72321701049805,79.0,79.0,75.5999984741211,75.5999984741211,2000.0
2000-02-28,MOH.F,56.939231872558594,76.5999984741211,77.4000015258789,74.5999984741211,77.0,2000.0
2000-02-29,MOH.F,56.939231872558594,76.5999984741211,77.0,76.4000015258789,77.0,3000.0
2000-03-01,MOH.F,55.45256805419922,74.5999984741211,76.0,74.5999984741211,75.19999694824219,7500.0
2000-03-02,MOH.F,55.601234436035156,74.80000305175781,75.80000305175781,74.5999984741211,74.5999984741211,1000.0
